Outlets	Modes	Supercatchment	StreamID
246	1299	28	100
413	1428	28	100
800	1238	28	100
222	1986	28	101
367	1193	28	101
782	1433	28	101
222	1986	28	102
593	1674	28	102
757	1578	28	102
1211	1701	28	102
222	1986	28	103
367	1193	28	103
772	1535	28	103
414	964	28	104
580	1102	28	104
768	1446	28	104
997	1608	28	104
1270	1683	28	104
219	1299	28	105
414	964	28	105
580	1102	28	105
859	1203	28	105
1067	1439	28	105
1197	1486	28	105
246	1299	28	106
503	1486	28	106
794	1140	28	106
994	1451	28	106
275	1188	28	107
1177	1345	28	107
246	1299	28	108
503	1486	28	108
840	1292	28	108
1090	1420	28	108
222	1986	28	109
593	1674	28	109
811	1839	28	109
222	1986	28	110
543	1513	28	110
863	1130	28	110
965	1193	28	110
1081	1471	28	110
275	1183	28	111
222	1986	28	112
741	1244	28	112
840	1294	28	112
246	1299	28	113
527	1486	28	113
845	1165	28	113
1210	1472	28	113
1349	1433	28	113
222	1986	28	114
836	1266	28	114
1163	1337	28	114
1396	1508	28	114
222	1986	28	115
867	1629	28	115
1485	1822	28	115
1705	1919	28	115
222	1986	28	116
593	1674	28	116
1058	1584	28	116
246	1299	28	118
413	1442	28	118
786	1595	28	118
1704	1784	28	118
275	1183	28	119
809	1168	28	119
981	1228	28	119
252	945	28	11
625	1073	28	11
1120	1314	28	11
246	1299	28	120
683	1167	28	120
994	1326	28	120
1370	1482	28	120
275	1183	28	121
918	1311	28	121
246	1299	28	122
683	1167	28	122
985	1238	28	122
1075	1399	28	122
1318	1533	28	122
246	1299	28	123
413	1428	28	123
873	1361	28	123
1084	1596	28	123
246	1299	28	124
413	1428	28	124
926	1402	28	124
246	1299	28	126
527	1486	28	126
904	1165	28	126
1135	1327	28	126
222	1986	28	127
741	1244	28	127
871	1492	28	127
1290	1716	28	127
1529	1865	28	127
222	1986	28	128
481	1377	28	128
805	1525	28	128
909	1369	28	128
1324	1558	28	128
1484	1654	28	128
246	1299	28	129
683	1167	28	129
851	1266	28	129
1136	1437	28	129
222	1986	28	130
741	1244	28	130
963	1506	28	130
1218	1581	28	130
246	1299	28	132
683	1167	28	132
851	1266	28	132
1024	1351	28	132
1122	1289	28	132
1270	1498	28	132
246	1299	28	136
503	1486	28	136
986	1287	28	136
1244	1466	28	136
246	1299	28	137
527	1486	28	137
1006	1203	28	137
1094	1384	28	137
246	1299	28	138
413	1442	28	138
840	1496	28	138
947	1431	28	138
222	1986	28	139
978	1357	28	139
1179	1684	28	139
1371	1507	28	139
1559	1678	28	139
222	1986	28	140
985	1465	28	140
1233	1868	28	140
246	1299	28	142
503	1486	28	142
835	1653	28	142
1013	1260	28	142
1195	1407	28	142
222	1986	28	144
367	1178	28	144
579	1483	28	144
725	1802	28	144
845	1864	28	144
1050	1432	28	144
1239	1554	28	144
1424	1889	28	144
246	1299	28	145
413	1428	28	145
684	1315	28	145
1265	1422	28	145
1382	1523	28	145
246	1299	28	147
503	1486	28	147
835	1653	28	147
1011	1315	28	147
1205	1499	28	147
1479	1603	28	147
246	1299	28	148
503	1486	28	148
853	1653	28	148
1012	1467	28	148
1350	1710	28	148
222	1986	28	149
550	1494	28	149
1016	1363	28	149
1178	1577	28	149
296	861	28	14
655	1021	28	14
893	1117	28	14
275	1200	28	150
525	1332	28	150
994	1487	28	150
1355	1660	28	150
1474	1718	28	150
222	1986	28	151
550	1494	28	151
1530	1631	28	151
246	1299	28	152
503	1486	28	152
906	1259	28	152
1184	1485	28	152
222	1986	28	153
550	1494	28	153
1553	1771	28	153
246	1299	28	154
527	1486	28	154
906	1276	28	154
222	1986	28	155
367	1178	28	155
579	1483	28	155
742	1503	28	155
972	1678	28	155
1405	1783	28	155
193	585	28	15
383	633	28	15
526	700	28	15
222	1986	28	160
481	1377	28	160
805	1525	28	160
275	1198	28	161
222	1986	28	164
1087	1686	28	164
222	1986	28	166
593	1674	28	166
1091	1635	28	166
1689	1863	28	166
246	1299	28	167
503	1486	28	167
835	1653	28	167
1111	1379	28	167
1417	1598	28	167
246	1299	28	168
503	1486	28	168
1072	1453	28	168
246	1299	28	169
503	1486	28	169
967	1363	28	169
1238	1509	28	169
275	1200	28	170
525	1332	28	170
1099	1469	28	170
1223	1561	28	170
1323	1628	28	170
246	1299	28	174
503	1486	28	174
853	1653	28	174
1209	1544	28	174
1432	1737	28	174
222	1986	28	175
1153	1582	28	175
1273	1653	28	175
275	1200	28	176
525	1332	28	176
1453	1609	28	176
222	1986	28	177
367	1178	28	177
579	1483	28	177
725	1802	28	177
864	1734	28	177
1243	1766	28	177
1591	1842	28	177
222	1986	28	178
367	1178	28	178
579	1483	28	178
725	1802	28	178
864	1734	28	178
222	1986	28	179
543	1513	28	179
1152	1761	28	179
1536	1733	28	179
246	1299	28	180
503	1486	28	180
853	1653	28	180
1142	1566	28	180
1545	1685	28	180
222	1986	28	181
543	1513	28	181
1138	1583	28	181
1472	1785	28	181
1590	1873	28	181
203	1930	28	182
1839	2455	28	182
2453	2694	28	182
2752	3013	28	182
246	1299	28	183
503	1486	28	183
853	1653	28	183
1063	1737	28	183
1170	1577	28	183
1616	1728	28	183
246	1299	28	185
503	1486	28	185
835	1586	28	185
1431	1742	28	185
222	1986	28	186
593	1674	28	186
1154	1667	28	186
1499	1951	28	186
246	1299	28	188
413	1428	28	188
817	1741	28	188
1285	1580	28	188
1446	1664	28	188
246	1299	28	189
413	1428	28	189
701	1661	28	189
1218	1576	28	189
1391	1699	28	189
1613	1849	28	189
246	1299	28	190
413	1428	28	190
684	1315	28	190
978	1504	28	190
1381	1606	28	190
246	1299	28	191
413	1428	28	191
684	1315	28	191
978	1504	28	191
1323	1613	28	191
222	1986	28	192
1167	1895	28	192
2018	2232	28	192
246	1299	28	193
413	1428	28	193
1115	1722	28	193
1753	1825	28	193
222	1986	28	194
441	1495	28	194
1262	1637	28	194
1575	1748	28	194
222	1986	28	195
441	1482	28	195
1298	1694	28	195
1639	1772	28	195
246	1299	28	196
503	1486	28	196
835	1653	28	196
1063	1737	28	196
1293	1623	28	196
1483	1870	28	196
222	1986	28	199
593	1674	28	199
291	695	28	19
554	868	28	19
810	1375	28	19
1305	1539	28	19
1510	1594	28	19
222	1986	28	200
367	1178	28	200
579	1483	28	200
708	1801	28	200
845	1854	28	200
1348	1816	28	200
222	1986	28	201
367	1178	28	201
579	1483	28	201
708	1801	28	201
845	1854	28	201
1254	2050	28	201
1832	2128	28	201
246	1299	28	206
503	1486	28	206
835	1653	28	206
1063	1737	28	206
1276	1728	28	206
246	1299	28	207
413	1442	28	207
840	1496	28	207
1004	1609	28	207
1290	1712	28	207
1619	1803	28	207
1771	1845	28	207
246	1299	28	208
413	1442	28	208
840	1496	28	208
1004	1609	28	208
1460	1776	28	208
246	1299	28	209
413	1428	28	209
817	1741	28	209
1207	1918	28	209
1277	1841	28	209
1667	1993	28	209
2117	2233	28	209
246	1299	28	210
413	1428	28	210
980	1614	28	210
1090	1731	28	210
1554	1790	28	210
222	1986	28	211
1178	2760	28	211
1361	1844	28	211
246	1299	28	212
413	1428	28	212
980	1614	28	212
1090	1731	28	212
