Outlets	Modes	Supercatchment	StreamID
483	934	16	100
904	1163	16	100
324	2398	16	101
479	1024	16	101
691	1326	16	101
995	1487	16	101
405	1017	16	102
539	1067	16	102
725	1047	16	102
983	1135	16	102
425	1074	16	103
697	968	16	103
853	1087	16	103
1011	1198	16	103
324	2398	16	104
720	861	16	104
969	1285	16	104
325	2398	16	105
805	1094	16	105
1003	1224	16	105
1131	1318	16	105
324	2398	16	108
743	1319	16	108
324	2398	16	110
750	1543	16	110
325	2398	16	111
725	1021	16	111
920	1404	16	111
326	2398	16	112
569	1473	16	112
704	1165	16	112
322	2398	16	114
750	997	16	114
1080	1261	16	114
323	2398	16	115
742	1043	16	115
978	1243	16	115
426	761	16	116
635	1043	16	116
1023	1129	16	116
429	761	16	117
635	1043	16	117
825	1067	16	117
427	1018	16	118
766	1063	16	118
966	1391	16	118
1129	1429	16	118
1442	1574	16	118
323	2398	16	119
577	1471	16	119
743	1148	16	119
317	2398	16	120
791	1603	16	120
1409	1748	16	120
324	2398	16	121
779	989	16	121
908	1059	16	121
1040	1256	16	121
322	2398	16	124
628	1875	16	124
759	1749	16	124
325	2398	16	125
586	1875	16	125
783	1341	16	125
1196	1476	16	125
436	1074	16	126
614	1030	16	126
859	1174	16	126
995	1264	16	126
1182	1280	16	126
425	1074	16	127
638	1030	16	127
766	1233	16	127
1166	1376	16	127
1374	1454	16	127
430	1018	16	128
589	998	16	128
852	1042	16	128
427	1018	16	129
636	993	16	129
345	1206	16	130
770	1148	16	130
324	2398	16	132
801	1177	16	132
1090	1382	16	132
317	2398	16	133
628	1243	16	133
786	1460	16	133
1150	1691	16	133
322	2398	16	134
582	1470	16	134
791	1151	16	134
896	1378	16	134
371	1621	16	135
830	1528	16	135
1349	1702	16	135
405	1017	16	137
592	1100	16	137
425	1077	16	138
658	1194	16	138
1099	1363	16	138
1412	1631	16	138
425	1077	16	139
670	1196	16	139
1200	1305	16	139
362	638	16	13
634	811	16	13
841	939	16	13
427	1018	16	140
585	1100	16	140
1112	1323	16	140
1304	1471	16	140
1480	1562	16	140
325	2398	16	141
840	1321	16	141
1407	1488	16	141
323	2398	16	142
847	1465	16	142
403	1623	16	143
1023	1447	16	143
1539	1615	16	143
317	2398	16	144
660	1057	16	144
884	1380	16	144
1410	1696	16	144
345	1206	16	145
822	1108	16	145
1112	1236	16	145
322	2398	16	147
660	1057	16	147
817	1332	16	147
1183	1707	16	147
322	1206	16	148
615	825	16	148
831	1227	16	148
322	1206	16	149
615	825	16	149
831	1227	16	149
384	741	16	14
583	824	16	14
317	2398	16	150
628	924	16	150
833	1606	16	150
1583	1683	16	150
323	2398	16	151
531	1175	16	151
901	1023	16	151
427	1018	16	152
533	1067	16	152
749	1679	16	152
848	1448	16	152
1080	1579	16	152
322	2398	16	153
628	1231	16	153
865	1264	16	153
1130	1351	16	153
1290	1601	16	153
320	2398	16	154
603	1875	16	154
835	1834	16	154
1826	1958	16	154
324	2398	16	155
717	2241	16	155
876	1384	16	155
1037	1477	16	155
1224	1582	16	155
1401	1662	16	155
322	2398	16	158
738	2238	16	158
898	1651	16	158
323	2398	16	159
698	1334	16	159
878	1190	16	159
1130	1403	16	159
1291	1514	16	159
389	609	16	15
623	734	16	15
322	2398	16	160
677	1334	16	160
1334	1517	16	160
1464	1650	16	160
322	2398	16	163
612	1875	16	163
928	1253	16	163
1016	1363	16	163
1238	1428	16	163
322	2398	16	165
637	924	16	165
896	1410	16	165
1492	1610	16	165
323	2398	16	166
637	924	16	166
817	1043	16	166
1086	1339	16	166
322	2398	16	167
739	2232	16	167
920	1665	16	167
1604	1774	16	167
317	2398	16	168
577	1470	16	168
916	1490	16	168
1440	1614	16	168
323	2398	16	169
936	1397	16	169
322	2398	16	178
531	1175	16	178
785	1576	16	178
944	1092	16	178
323	2398	16	179
930	1299	16	179
430	1018	16	180
724	1678	16	180
1118	1624	16	180
322	2398	16	181
948	1238	16	181
1130	1429	16	181
425	1068	16	182
947	1338	16	182
425	1066	16	183
994	1145	16	183
322	2398	16	184
738	2231	16	184
977	1610	16	184
1144	1553	16	184
422	1074	16	185
752	1231	16	185
939	1297	16	185
1268	1855	16	185
1840	1959	16	185
