Outlets	Modes	Supercatchment	StreamID
300	1422	9	100
557	1687	9	100
712	1105	9	100
917	1211	9	100
1114	1444	9	100
1426	1678	9	100
557	1687	9	102
1052	1371	9	102
300	1429	9	103
609	1831	9	103
851	1140	9	103
975	1350	9	103
1312	1478	9	103
537	1007	9	104
886	1302	9	104
974	1342	9	104
300	1422	9	107
557	1687	9	107
850	1217	9	107
964	1642	9	107
509	1007	9	108
839	1370	9	108
1283	1556	9	108
300	1422	9	109
582	1687	9	109
874	1106	9	109
1066	1422	9	109
1258	1490	9	109
1516	1611	9	109
575	1528	9	111
926	1248	9	111
557	1687	9	112
764	1360	9	112
864	1072	9	112
1032	1336	9	112
641	1018	9	114
902	1241	9	114
1058	1338	9	114
1253	1398	9	114
533	1257	9	117
892	1161	9	117
1054	1256	9	117
575	1527	9	118
856	1084	9	118
983	1283	9	118
538	1066	9	120
962	1211	9	120
538	1066	9	121
896	1037	9	121
1058	1147	9	121
300	1422	9	122
557	1687	9	122
907	1401	9	122
1323	1539	9	122
507	1256	9	123
614	1062	9	123
928	1180	9	123
1086	1223	9	123
575	1527	9	124
927	1082	9	124
1051	1164	9	124
1210	1294	9	124
276	1422	9	127
582	1687	9	127
786	2783	9	127
931	1137	9	127
1013	1349	9	127
1429	1695	9	127
533	1257	9	128
762	1230	9	128
953	1210	9	128
1032	1258	9	128
533	1257	9	129
762	1231	9	129
885	1310	9	129
511	1055	9	12
931	1288	9	12
1221	1375	9	12
300	1422	9	130
582	1687	9	130
764	1360	9	130
1303	1729	9	130
641	1018	9	131
809	1402	9	131
1218	1530	9	131
1434	1594	9	131
507	1256	9	132
614	1060	9	132
580	1291	9	133
770	1415	9	133
884	1286	9	133
1247	1412	9	133
1363	1459	9	133
603	1291	9	134
789	1415	9	134
1026	1121	9	134
1143	1208	9	134
580	1291	9	136
770	1415	9	136
984	1326	9	136
1168	1493	9	136
603	1291	9	138
773	1075	9	138
956	1262	9	138
603	1291	9	139
773	1077	9	139
1086	1238	9	139
535	894	9	13
712	969	9	13
507	1256	9	140
614	1060	9	140
935	1093	9	140
641	1018	9	141
809	1402	9	141
983	1336	9	141
569	1407	9	143
1013	1410	9	143
300	1422	9	144
582	1687	9	144
812	1426	9	144
1228	1544	9	144
1355	1601	9	144
300	1422	9	145
557	1687	9	145
812	1426	9	145
940	1405	9	145
1169	1479	9	145
300	1422	9	146
557	1687	9	146
938	1431	9	146
1260	1772	9	146
1683	1880	9	146
300	1429	9	147
580	1291	9	147
770	1415	9	147
983	1315	9	147
1300	1542	9	147
1398	1603	9	147
524	868	9	14
774	893	9	14
276	1422	9	150
557	1687	9	150
786	2783	9	150
954	1100	9	150
509	1007	9	151
1072	1491	9	151
1221	1564	9	151
603	1291	9	152
789	1415	9	152
960	1113	9	152
1098	1297	9	152
537	1007	9	153
1119	1502	9	153
1272	1443	9	153
1391	1493	9	153
575	1527	9	156
1073	1289	9	156
575	1527	9	157
874	1228	9	157
1101	1298	9	157
276	1422	9	158
557	1687	9	158
814	2784	9	158
990	1398	9	158
1121	1875	9	158
1903	2121	9	158
300	1422	9	160
575	1527	9	160
1014	1340	9	160
300	1422	9	161
531	1478	9	161
869	1426	9	161
996	1465	9	161
1183	1523	9	161
1351	1635	9	161
300	1422	9	162
557	1687	9	162
814	2784	9	162
901	1806	9	162
1104	1781	9	162
300	1422	9	163
557	1687	9	163
934	1776	9	163
1381	1883	9	163
300	1422	9	164
557	1687	9	164
755	1395	9	164
300	1422	9	165
542	1407	9	165
300	1429	9	166
580	1291	9	166
770	1415	9	166
1379	1672	9	166
1572	1768	9	166
300	1422	9	167
557	1687	9	167
755	1395	9	167
1022	1371	9	167
1244	1435	9	167
276	1376	9	168
534	973	9	16
942	1038	9	16
1063	1157	9	16
300	1422	9	170
557	1687	9	170
755	1386	9	170
1030	1305	9	170
1207	1386	9	170
1309	1444	9	170
1423	1530	9	170
300	1422	9	171
557	1687	9	171
764	1353	9	171
1020	1397	9	171
300	1422	9	172
557	1687	9	172
764	1353	9	172
300	1429	9	173
580	1291	9	173
770	1415	9	173
1238	1573	9	173
300	1422	9	176
582	1687	9	176
753	1309	9	176
1243	1632	9	176
1359	1696	9	176
1544	1792	9	176
300	1422	9	177
557	1687	9	177
753	1309	9	177
1132	1366	9	177
1241	1433	9	177
300	1422	9	179
582	1687	9	179
908	1296	9	179
1047	1450	9	179
1347	1739	9	179
548	1080	9	17
780	1241	9	17
1175	1496	9	17
300	1422	9	180
582	1687	9	180
908	1276	9	180
1148	1431	9	180
1383	1516	9	180
300	1422	9	182
599	1527	9	182
933	1898	9	182
1101	1481	9	182
1400	1561	9	182
300	1429	9	183
580	1795	9	183
928	1872	9	183
1059	1801	9	183
1692	1937	9	183
300	1429	9	185
609	1831	9	185
759	1718	9	185
1732	1874	9	185
276	1429	9	187
433	1480	9	187
1039	1678	9	187
1589	1816	9	187
1709	1885	9	187
276	1422	9	188
557	1687	9	188
786	2783	9	188
1109	1300	9	188
1294	1635	9	188
364	921	9	189
720	1178	9	189
887	1274	9	189
996	1332	9	189
1213	1590	9	189
300	1429	9	18
498	1057	9	18
600	1262	9	18
763	1402	9	18
1246	1587	9	18
1385	1730	9	18
364	921	9	190
720	1178	9	190
887	1274	9	190
996	1332	9	190
1407	1510	9	190
507	1256	9	192
800	1462	9	192
1144	1430	9	192
300	1434	9	193
420	1521	9	193
300	1422	9	196
557	1687	9	196
814	2784	9	196
1136	1585	9	196
1479	1788	9	196
1655	1813	9	196
300	1422	9	197
655	1269	9	197
761	1453	9	197
1195	1682	9	197
300	1429	9	198
609	1831	9	198
930	1752	9	198
1083	1507	9	198
1200	1562	9	198
1330	1677	9	198
1470	1859	9	198
300	1422	9	199
655	1269	9	199
761	1453	9	199
1230	1670	9	199
580	1291	9	204
770	1415	9	204
1184	1443	9	204
276	1422	9	205
582	1679	9	205
1010	1737	9	205
1165	1572	9	205
1652	1795	9	205
300	1429	9	206
580	1291	9	206
770	1415	9	206
1026	1506	9	206
1134	1745	9	206
1733	2080	9	206
300	1429	9	207
609	1831	9	207
1161	1584	9	207
1501	1792	9	207
533	1257	9	208
819	1290	9	208
1239	1412	9	208
300	1422	9	209
755	1386	9	209
997	1516	9	209
1361	1608	9	209
618	1038	9	20
1206	1383	9	20
300	1422	9	210
755	1386	9	210
997	1517	9	210
300	1422	9	211
557	1687	9	211
801	1683	9	211
1014	1750	9	211
1137	1546	9	211
1426	1843	9	211
533	1257	9	212
819	1290	9	212
507	1256	9	213
819	1290	9	213
1158	1376	9	213
1296	1469	9	213
1483	1532	9	213
300	1429	9	214
609	1831	9	214
930	1752	9	214
1223	1461	9	214
1331	1595	9	214
1483	1630	9	214
603	1291	9	215
770	1415	9	215
964	1269	9	215
1179	1316	9	215
276	1434	9	216
451	1521	9	216
1535	1674	9	216
276	1422	9	217
557	1687	9	217
814	2784	9	217
899	1837	9	217
1669	1834	9	217
276	1422	9	218
557	1687	9	218
814	2784	9	218
1198	1579	9	218
1429	1778	9	218
603	1291	9	219
770	1415	9	219
940	1269	9	219
1183	1378	9	219
276	1422	9	220
557	1687	9	220
814	2784	9	220
899	1846	9	220
276	1422	9	222
507	1256	9	222
800	1462	9	222
987	1797	9	222
1216	1420	9	222
1322	1480	9	222
276	1422	9	223
557	1687	9	223
801	1683	9	223
939	1956	9	223
1180	1658	9	223
1764	1836	9	223
276	1422	9	224
557	1683	9	224
939	1956	9	224
1206	1611	9	224
1590	1693	9	224
1694	1859	9	224
276	1434	9	225
451	1500	9	225
1465	1612	9	225
276	1429	9	226
433	1480	9	226
1016	1540	9	226
1184	1527	9	226
1443	1676	9	226
1734	1836	9	226
276	1429	9	227
433	1480	9	227
1039	1638	9	227
1157	1826	9	227
300	1422	9	228
557	1687	9	228
801	1683	9	228
1014	1749	9	228
1340	1825	9	228
1708	2007	9	228
300	1434	9	229
420	1521	9	229
610	1022	9	22
948	1183	9	22
300	1422	9	233
557	1687	9	233
814	2784	9	233
1222	1492	9	233
1499	1726	9	233
300	1422	9	236
557	1687	9	236
814	2784	9	236
1035	2347	9	236
1372	1580	9	236
300	1422	9	237
655	1269	9	237
761	1453	9	237
1231	1758	9	237
300	1422	9	239
655	1269	9	239
761	1453	9	239
1392	1785	9	239
300	1422	9	241
557	1687	9	241
814	2784	9	241
1307	1833	9	241
300	1422	9	244
557	1679	9	244
1010	1737	9	244
1368	1702	9	244
1514	1874	9	244
300	1422	9	246
582	1687	9	246
801	1683	9	246
988	1490	9	246
1284	1500	9	246
1501	1559	9	246
580	1291	9	247
770	1412	9	247
1276	1370	9	247
300	1422	9	248
575	1527	9	248
961	1897	9	248
1253	1547	9	248
1444	1739	9	248
574	1047	9	24
1089	1392	9	24
300	1422	9	250
507	1256	9	250
800	1462	9	250
987	1778	9	250
1254	1681	9	250
1769	1844	9	250
300	1422	9	254
557	1687	9	254
801	1682	9	254
956	1489	9	254
1436	1753	9	254
1793	1884	9	254
300	1429	9	255
580	1291	9	255
770	1415	9	255
1392	1542	9	255
300	1429	9	257
609	1831	9	257
842	1743	9	257
1458	1827	9	257
1576	1870	9	257
276	1422	9	258
557	1687	9	258
814	2784	9	258
1343	1469	9	258
608	735	9	25
698	996	9	25
276	1422	9	260
557	1679	9	260
1298	1765	9	260
1633	1863	9	260
1796	1925	9	260
300	1422	9	261
507	1256	9	261
800	1462	9	261
1027	1450	9	261
1375	1671	9	261
1686	1800	9	261
300	1429	9	262
609	1831	9	262
759	1742	9	262
1050	1792	9	262
1321	1606	9	262
1564	1770	9	262
300	1422	9	263
507	1256	9	263
800	1462	9	263
1027	1450	9	263
1331	1458	9	263
1501	1677	9	263
300	1422	9	264
557	1687	9	264
814	2784	9	264
1029	1923	9	264
300	1429	9	265
609	1831	9	265
759	1742	9	265
276	1422	9	266
557	1679	9	266
1219	1880	9	266
1308	1811	9	266
1721	2047	9	266
300	1422	9	269
557	1687	9	269
801	1683	9	269
966	1956	9	269
1229	1694	9	269
560	977	9	26
959	1064	9	26
300	1422	9	274
582	1687	9	274
801	1683	9	274
988	1479	9	274
1329	1541	9	274
1542	1712	9	274
300	1422	9	275
557	1687	9	275
814	2784	9	275
1169	1832	9	275
1385	1965	9	275
1558	2059	9	275
300	1422	9	276
582	1687	9	276
801	1683	9	276
988	1469	9	276
1435	1568	9	276
300	1422	9	277
575	1527	9	277
961	1894	9	277
1357	1556	9	277
1634	1750	9	277
1769	1847	9	277
300	1422	9	279
599	1522	9	279
1358	1725	9	279
583	778	9	27
771	864	9	27
300	1429	9	280
580	1291	9	280
770	1415	9	280
1470	1566	9	280
276	1422	9	281
557	1687	9	281
814	2784	9	281
1152	1640	9	281
1333	1702	9	281
1510	1842	9	281
1970	2089	9	281
300	1422	9	282
557	1687	9	282
801	1683	9	282
966	1956	9	282
1398	1642	9	282
1633	1922	9	282
1923	2021	9	282
300	1429	9	283
580	1795	9	283
276	1422	9	284
557	1687	9	284
814	2784	9	284
1152	1640	9	284
1361	1920	9	284
300	1429	9	285
580	1291	9	285
770	1415	9	285
1026	1506	9	285
1529	1743	9	285
300	1429	9	286
580	1291	9	286
770	1415	9	286
1026	1506	9	286
1312	1640	9	286
1444	1753	9	286
1556	1810	9	286
1664	1873	9	286
1815	2079	9	286
276	1422	9	287
557	1687	9	287
814	2784	9	287
1229	2426	9	287
1401	1780	9	287
1690	1997	9	287
1987	2175	9	287
2191	2323	9	287
300	1429	9	288
580	1291	9	288
770	1415	9	288
895	1446	9	288
300	1429	9	289
580	1291	9	289
770	1415	9	289
1026	1506	9	289
1312	1583	9	289
1487	1810	9	289
1776	1970	9	289
580	1291	9	291
770	1412	9	291
1418	1509	9	291
300	1429	9	292
580	1291	9	292
770	1412	9	292
1439	1538	9	292
1526	1644	9	292
276	1422	9	293
557	1679	9	293
1219	1880	9	293
1382	1749	9	293
1659	1889	9	293
1915	1969	9	293
300	1422	9	294
557	1687	9	294
801	1683	9	294
1036	1750	9	294
1589	1993	9	294
1833	2028	9	294
300	1422	9	295
557	1687	9	295
814	2784	9	295
1318	1808	9	295
1504	2181	9	295
300	1422	9	296
557	1687	9	296
814	2784	9	296
1318	1808	9	296
1542	2133	9	296
300	1422	9	297
557	1687	9	297
814	2784	9	297
1484	1924	9	297
2013	2350	9	297
300	1422	9	298
557	1687	9	298
814	2784	9	298
1169	1832	9	298
1317	1885	9	298
1623	1873	9	298
1793	1936	9	298
300	1422	9	299
557	1679	9	299
1010	1737	9	299
1219	1880	9	299
1642	1939	9	299
1789	2007	9	299
339	685	9	2
541	759	9	2
835	926	9	2
300	1429	9	300
580	1830	9	300
928	1872	9	300
1481	1787	9	300
300	1429	9	303
609	1831	9	303
842	1752	9	303
1497	1848	9	303
300	1422	9	304
507	1256	9	304
800	1462	9	304
987	1758	9	304
300	1422	9	305
575	1527	9	305
961	1894	9	305
1560	1868	9	305
300	1422	9	307
557	1687	9	307
814	2784	9	307
1504	2497	9	307
2522	2652	9	307
300	1422	9	308
557	1687	9	308
814	2784	9	308
1035	2346	9	308
1221	2075	9	308
1524	1719	9	308
1770	1977	9	308
300	1422	9	309
557	1687	9	309
934	1806	9	309
1695	2071	9	309
2055	2195	9	309
627	860	9	30
841	978	9	30
300	1422	9	310
557	1679	9	310
1010	1737	9	310
1219	1880	9	310
1855	2005	9	310
300	1422	9	311
557	1687	9	311
814	2784	9	311
1059	1946	9	311
1551	1961	9	311
1789	2048	9	311
1947	2273	9	311
300	1422	9	312
557	1679	9	312
1219	1871	9	312
1657	2120	9	312
1774	2171	9	312
300	1422	9	313
557	1687	9	313
814	2784	9	313
1366	2437	9	313
1561	1879	9	313
1882	2036	9	313
2115	2282	9	313
300	1422	9	314
557	1687	9	314
814	2784	9	314
1229	2426	9	314
300	1422	9	315
507	1256	9	315
800	1462	9	315
987	1778	9	315
1554	1693	9	315
1679	1794	9	315
300	1422	9	316
575	1527	9	316
961	1894	9	316
1318	1739	9	316
1528	1640	9	316
1622	1754	9	316
300	1429	9	317
580	1795	9	317
1534	1905	9	317
1785	1917	9	317
300	1422	9	318
557	1687	9	318
814	2784	9	318
1169	1828	9	318
300	1422	9	319
557	1687	9	319
814	2784	9	319
1169	1828	9	319
1626	2050	9	319
1851	2137	9	319
420	1521	9	31
579	882	9	31
892	1205	9	31
1087	1359	9	31
300	1429	9	320
580	1830	9	320
928	1872	9	320
1954	2141	9	320
300	1422	9	322
557	1687	9	322
814	2784	9	322
1169	1828	9	322
1622	2066	9	322
300	1422	9	324
575	1527	9	324
961	1894	9	324
1571	1921	9	324
2061	2112	9	324
300	1422	9	325
557	1687	9	325
814	2784	9	325
1059	1946	9	325
1577	2063	9	325
2017	2261	9	325
300	1422	9	326
557	1687	9	326
814	2784	9	326
1059	1946	9	326
1521	2186	9	326
300	1422	9	327
557	1687	9	327
814	2784	9	327
1035	2338	9	327
1693	2201	9	327
1880	2415	9	327
300	1422	9	328
557	1687	9	328
814	2784	9	328
1169	1832	9	328
1317	1912	9	328
1491	2009	9	328
1687	2205	9	328
300	1422	9	329
557	1687	9	329
814	2784	9	329
1169	1832	9	329
1317	1912	9	329
1552	2230	9	329
1898	2313	9	329
681	957	9	32
901	1130	9	32
300	1422	9	330
557	1687	9	330
814	2784	9	330
1035	2338	9	330
1510	1784	9	330
1874	1987	9	330
300	1422	9	331
507	1256	9	331
800	1462	9	331
1011	1778	9	331
1844	2038	9	331
2047	2125	9	331
300	1422	9	332
557	1687	9	332
814	2784	9	332
2573	2915	9	332
300	1422	9	335
507	1256	9	335
800	1462	9	335
987	1778	9	335
300	1422	9	336
557	1687	9	336
814	2784	9	336
1229	2426	9	336
1667	1977	9	336
1986	2145	9	336
300	1422	9	337
557	1687	9	337
801	1683	9	337
939	1956	9	337
1289	1813	9	337
1638	1823	9	337
1865	2174	9	337
1969	2284	9	337
2230	2492	9	337
300	1422	9	338
575	1527	9	338
961	1894	9	338
1318	1739	9	338
1580	1824	9	338
1698	1910	9	338
300	1422	9	339
575	1527	9	339
961	1894	9	339
1318	1739	9	339
620	997	9	33
1280	1415	9	33
1418	1552	9	33
300	1422	9	340
557	1687	9	340
801	1683	9	340
966	1956	9	340
1317	1825	9	340
1855	1930	9	340
300	1422	9	341
557	1687	9	341
801	1683	9	341
966	1956	9	341
1741	1964	9	341
300	1422	9	342
557	1687	9	342
801	1683	9	342
966	1956	9	342
1289	1813	9	342
1626	1882	9	342
1869	2078	9	342
276	1422	9	343
557	1687	9	343
814	2784	9	343
1229	2426	9	343
1652	2226	9	343
300	1422	9	344
575	1527	9	344
961	1894	9	344
1481	1990	9	344
1601	1917	9	344
1832	1970	9	344
300	1422	9	345
557	1687	9	345
814	2784	9	345
1641	2436	9	345
1866	2544	9	345
2438	2643	9	345
300	1422	9	346
557	1687	9	346
814	2784	9	346
1326	3509	9	346
1692	2070	9	346
2325	2408	9	346
300	1422	9	347
557	1687	9	347
814	2784	9	347
1035	2329	9	347
1768	1986	9	347
1987	2223	9	347
300	1422	9	348
557	1687	9	348
801	1683	9	348
966	1956	9	348
1761	1905	9	348
300	1422	9	349
557	1687	9	349
814	2784	9	349
1366	2437	9	349
620	1061	9	34
1063	1182	9	34
300	1422	9	350
557	1687	9	350
801	1683	9	350
966	1956	9	350
1753	1865	9	350
1897	2097	9	350
300	1422	9	351
557	1687	9	351
814	2784	9	351
1366	2437	9	351
1686	2093	9	351
2051	2329	9	351
300	1422	9	352
557	1687	9	352
814	2784	9	352
1035	2346	9	352
1221	2075	9	352
2165	2259	9	352
300	1422	9	353
557	1687	9	353
814	2784	9	353
1687	2225	9	353
300	1422	9	354
557	1687	9	354
814	2784	9	354
1229	2426	9	354
2133	2640	9	354
300	1429	9	355
580	1830	9	355
1608	1891	9	355
1820	1974	9	355
1987	2062	9	355
300	1422	9	356
557	1687	9	356
801	1683	9	356
939	1956	9	356
1289	1813	9	356
1753	2488	9	356
300	1422	9	357
557	1687	9	357
801	1683	9	357
966	1956	9	357
1289	1813	9	357
1835	2010	9	357
300	1422	9	358
575	1527	9	358
961	1894	9	358
