Outlets	Modes	Supercatchment	StreamID
293	959	11	100
435	884	11	100
460	873	11	101
753	854	11	101
450	873	11	102
814	946	11	102
997	1143	11	102
293	959	11	103
474	1672	11	103
709	1030	11	103
888	1140	11	103
1124	1242	11	103
279	958	11	105
532	969	11	105
723	940	11	105
293	959	11	108
617	1010	11	108
829	1098	11	108
1123	1211	11	108
279	958	11	109
928	1067	11	109
1106	1204	11	109
322	815	11	110
789	1091	11	110
322	815	11	111
754	901	11	111
953	1037	11	111
279	958	11	112
557	923	11	112
768	1090	11	112
279	958	11	113
611	1010	11	113
798	1055	11	113
1036	1361	11	113
293	959	11	114
474	1672	11	114
779	1248	11	114
1288	1434	11	114
279	958	11	115
476	1672	11	115
880	1162	11	115
1216	1288	11	115
293	959	11	116
481	1672	11	116
804	1164	11	116
293	959	11	118
477	1672	11	118
893	974	11	118
279	958	11	119
611	1010	11	119
849	1138	11	119
1008	1295	11	119
380	474	11	11
279	958	11	120
476	1672	11	120
830	986	11	120
928	1226	11	120
1199	1310	11	120
279	958	11	121
532	969	11	121
880	1067	11	121
1074	1181	11	121
293	959	11	123
435	884	11	123
615	1198	11	123
293	959	11	124
540	969	11	124
753	975	11	124
279	958	11	126
293	959	11	129
813	1059	11	129
1024	1271	11	129
323	542	11	12
497	714	11	12
293	959	11	130
472	1672	11	130
856	1133	11	130
995	1215	11	130
1238	1349	11	130
293	959	11	131
483	1672	11	131
672	1151	11	131
969	1184	11	131
279	958	11	132
474	1672	11	132
902	1151	11	132
1251	1331	11	132
293	959	11	133
435	884	11	133
668	900	11	133
968	1099	11	133
279	958	11	137
506	1142	11	137
883	1309	11	137
279	958	11	138
533	1143	11	138
1173	1256	11	138
293	959	11	139
472	1672	11	139
891	1200	11	139
1089	1292	11	139
1245	1368	11	139
365	802	11	13
718	856	11	13
293	959	11	140
472	1672	11	140
863	1136	11	140
1110	1230	11	140
290	958	11	141
497	1672	11	141
855	1408	11	141
1432	1512	11	141
293	959	11	142
477	1672	11	142
895	1105	11	142
1061	1281	11	142
1156	1384	11	142
293	959	11	146
456	1672	11	146
676	1211	11	146
913	1802	11	146
1814	1927	11	146
293	959	11	148
617	1010	11	148
777	1227	11	148
995	1264	11	148
293	959	11	149
529	969	11	149
764	1127	11	149
971	1221	11	149
279	958	11	150
476	1672	11	150
692	1211	11	150
907	1102	11	150
1067	1321	11	150
293	959	11	151
565	923	11	151
887	961	11	151
293	959	11	152
435	884	11	152
615	1198	11	152
854	1164	11	152
1152	1225	11	152
279	958	11	153
476	1672	11	153
692	1211	11	153
933	1246	11	153
293	959	11	154
422	884	11	154
608	1198	11	154
840	1169	11	154
945	1223	11	154
293	959	11	155
484	1672	11	155
672	1151	11	155
912	1128	11	155
293	959	11	156
472	1672	11	156
685	1147	11	156
293	959	11	157
422	884	11	157
678	900	11	157
1002	1208	11	157
279	958	11	158
422	884	11	158
561	890	11	158
668	900	11	158
987	1209	11	158
293	959	11	161
474	1672	11	161
706	1211	11	161
938	1154	11	161
1045	1282	11	161
1301	1439	11	161
1406	1532	11	161
279	958	11	162
