Outlets	Modes	Supercatchment	StreamID
554	1836	23	10
807	1561	23	10
1330	1648	23	10
818	1278	23	11
1192	1547	23	11
1546	1689	23	11
554	1836	23	12
972	1243	23	12
1313	1515	23	12
1091	1328	23	14
1229	1442	23	14
1072	1423	23	15
1201	1590	23	15
1432	1661	23	15
1166	1696	23	16
570	1836	23	17
1182	1700	23	17
1702	1818	23	17
1803	1886	23	17
570	1836	23	18
1929	2106	23	18
570	1836	23	19
1811	2026	23	19
187	2286	23	20
1834	2032	23	20
1911	2135	23	22
1861	2061	23	23
2032	2140	23	23
187	2283	23	26
187	2283	23	27
187	2286	23	28
2104	2279	23	28
187	2286	23	29
2123	2320	23	29
400	666	23	2
660	779	23	2
793	953	23	2
1004	1089	23	2
187	2286	23	32
2350	2510	23	32
187	2286	23	33
2442	2550	23	33
187	2286	23	34
2323	2509	23	34
2542	2645	23	34
187	2286	23	35
2404	2515	23	35
330	601	23	3
586	800	23	3
390	652	23	4
634	750	23	4
770	957	23	4
503	741	23	5
517	611	23	6
759	996	23	8
996	1077	23	8
554	1836	23	9
837	1283	23	9
1309	1431	23	9
