Outlets	Modes	Supercatchment	StreamID
339	1841	37	103
707	1151	37	103
324	2356	37	104
537	852	37	104
672	1094	37	104
1126	1270	37	104
324	2356	37	105
535	1478	37	105
827	1109	37	105
1071	1164	37	105
339	1841	37	106
707	1163	37	106
1022	1357	37	106
1128	1429	37	106
1312	1467	37	106
339	1841	37	107
620	2128	37	107
838	1312	37	107
414	1062	37	108
896	1326	37	108
1007	1407	37	108
324	2356	37	109
513	1213	37	109
723	1436	37	109
830	1250	37	109
1163	1421	37	109
376	585	37	10
593	766	37	10
769	843	37	10
339	1869	37	110
562	862	37	110
754	1115	37	110
1019	1198	37	110
339	1869	37	111
562	862	37	111
839	1264	37	111
1224	1418	37	111
339	1841	37	113
695	942	37	113
907	1341	37	113
1062	1466	37	113
414	1062	37	114
846	1181	37	114
339	1841	37	115
620	2128	37	115
958	1717	37	115
324	2356	37	116
732	1250	37	116
859	1184	37	116
324	2356	37	117
732	1250	37	117
1295	1428	37	117
324	2356	37	118
732	1250	37	118
880	1077	37	118
976	1202	37	118
324	2356	37	119
513	1213	37	119
723	1436	37	119
934	1187	37	119
1035	1258	37	119
337	609	37	11
361	1841	37	120
643	2128	37	120
800	1813	37	120
942	1708	37	120
1327	1784	37	120
1458	1914	37	120
324	2356	37	121
537	852	37	121
672	1122	37	121
783	1199	37	121
1015	1330	37	121
1271	1445	37	121
324	2356	37	123
847	1124	37	123
999	1336	37	123
394	1038	37	124
896	990	37	124
1008	1125	37	124
324	2356	37	125
537	852	37	125
672	1122	37	125
783	1238	37	125
1168	1391	37	125
324	2356	37	126
914	1210	37	126
1056	1483	37	126
394	1038	37	128
466	989	37	129
1062	1147	37	129
365	584	37	12
513	939	37	12
466	1020	37	130
1022	1193	37	130
339	1869	37	131
524	1921	37	131
963	1216	37	131
1235	1481	37	131
324	2356	37	132
513	1213	37	132
723	1436	37	132
324	2356	37	133
738	1282	37	133
981	1114	37	133
1115	1218	37	133
324	2356	37	134
513	1213	37	134
723	1436	37	134
914	1380	37	134
