Outlets	Modes	Supercatchment	StreamID
441	1764	12	100
679	1471	12	100
1087	1539	12	100
1430	1714	12	100
427	1764	12	102
755	962	12	102
889	1047	12	102
427	1764	12	103
694	936	12	103
401	1764	12	104
594	869	12	104
836	1007	12	104
422	1764	12	109
553	1910	12	109
739	1134	12	109
1156	1367	12	109
1393	1515	12	109
476	773	12	10
885	985	12	10
502	978	12	110
770	1200	12	110
1015	1280	12	110
502	978	12	112
709	1091	12	112
1108	1174	12	112
502	978	12	113
722	884	12	113
827	986	12	113
425	1764	12	115
744	1489	12	115
1608	1742	12	115
427	1764	12	117
749	1010	12	117
941	1160	12	117
1079	1273	12	117
415	1764	12	118
738	1579	12	118
1591	1752	12	118
422	1764	12	119
742	1183	12	119
925	1317	12	119
1138	1578	12	119
1565	1696	12	119
389	845	12	11
504	984	12	120
750	1102	12	120
1100	1177	12	120
489	853	12	121
740	980	12	121
368	554	12	122
480	853	12	122
822	1058	12	122
956	1062	12	122
487	781	12	123
922	1127	12	123
487	781	12	124
733	948	12	124
922	1160	12	124
1044	1213	12	124
502	978	12	125
931	1226	12	125
447	1035	12	126
447	1035	12	127
766	1010	12	127
1078	1380	12	127
542	975	12	128
648	1143	12	128
755	937	12	128
973	1214	12	128
441	1764	12	129
563	1910	12	129
781	1416	12	129
1291	1610	12	129
1630	1686	12	129
395	1427	12	130
784	1413	12	130
1487	1618	12	130
422	1764	12	131
609	1769	12	131
799	1260	12	131
1061	1361	12	131
441	1764	12	132
624	1770	12	132
784	1385	12	132
1040	1764	12	132
427	1764	12	133
614	1769	12	133
851	1202	12	133
1087	1292	12	133
1408	1540	12	133
441	1764	12	135
624	1770	12	135
806	1223	12	135
1276	1734	12	135
415	1764	12	136
552	1909	12	136
790	1544	12	136
427	1034	12	137
1107	1195	12	137
447	1029	12	138
1073	1522	12	138
390	1427	12	139
1389	1516	12	139
425	1764	12	140
546	1909	12	140
665	2098	12	140
819	1554	12	140
925	1517	12	140
422	1764	12	141
527	1022	12	141
630	1770	12	141
811	1021	12	141
976	1162	12	141
1087	1252	12	141
422	1764	12	144
553	1910	12	144
847	1400	12	144
479	981	12	145
832	1002	12	145
1019	1103	12	145
795	1407	12	146
974	1469	12	146
1314	1640	12	146
425	1764	12	149
643	1047	12	149
801	1154	12	149
392	619	12	14
425	1764	12	151
609	1769	12	151
799	1431	12	151
1238	1580	12	151
425	1764	12	155
548	1909	12	155
667	2098	12	155
831	1047	12	155
978	1363	12	155
1126	1414	12	155
1416	1495	12	155
422	1764	12	156
841	1098	12	156
415	1764	12	157
786	1196	12	157
1225	1357	12	157
1412	1553	12	157
531	975	12	158
633	1122	12	158
983	1236	12	158
497	981	12	159
678	1258	12	159
1223	1453	12	159
500	978	12	160
1027	1248	12	160
441	1764	12	161
548	1909	12	161
674	2098	12	161
906	1453	12	161
425	1764	12	162
548	1909	12	162
836	1111	12	162
1059	1383	12	162
425	1764	12	163
643	1047	12	163
1064	1196	12	163
531	975	12	164
716	1120	12	164
842	1012	12	164
1139	1260	12	164
441	1764	12	165
552	1910	12	165
688	2098	12	165
951	1249	12	165
425	1764	12	166
613	1769	12	166
1045	1239	12	166
704	1120	12	167
869	1366	12	167
1122	1540	12	167
1614	1706	12	167
415	1764	12	168
603	1769	12	168
861	1189	12	168
389	517	12	16
640	849	12	16
422	1764	12	171
628	1047	12	171
1113	1530	12	171
415	1764	12	172
628	1027	12	172
628	1047	12	173
794	1392	12	173
1109	1520	12	173
441	1764	12	174
655	1048	12	174
778	1439	12	174
1327	1618	12	174
1508	1702	12	174
498	984	12	175
866	1229	12	175
1228	1341	12	175
415	1764	12	177
596	1762	12	177
871	1585	12	177
1465	1747	12	177
1629	2022	12	177
503	984	12	178
764	1309	12	178
867	1352	12	178
1048	1496	12	178
397	1764	12	179
584	1910	12	179
691	2098	12	179
925	1651	12	179
1500	1860	12	179
1716	1919	12	179
1911	2045	12	179
397	735	12	17
865	963	12	17
606	1769	12	180
876	1579	12	180
503	984	12	181
865	1469	12	181
1047	1492	12	181
1504	1689	12	181
425	1764	12	183
613	1769	12	183
802	1243	12	183
1201	1386	12	183
547	975	12	184
648	1143	12	184
831	1225	12	184
1012	1552	12	184
502	978	12	185
895	1212	12	185
498	984	12	186
762	1309	12	186
871	1222	12	186
1253	1413	12	186
1415	1583	12	186
504	979	12	187
1010	1321	12	187
531	975	12	188
633	1122	12	188
925	1311	12	188
1193	1621	12	188
1528	1707	12	188
441	1764	12	189
546	1909	12	189
729	1828	12	189
907	1206	12	189
1222	1443	12	189
422	1764	12	193
548	1909	12	193
715	1829	12	193
907	1310	12	193
1243	1534	12	193
419	1764	12	198
548	1909	12	198
697	2098	12	198
949	1779	12	198
1079	1872	12	198
1268	1926	12	198
1574	2114	12	198
1777	2125	12	198
2172	2242	12	198
441	1764	12	199
548	1909	12	199
674	2098	12	199
915	1344	12	199
1290	1532	12	199
398	605	12	19
415	1764	12	200
596	1762	12	200
918	1423	12	200
1101	1482	12	200
441	1764	12	201
546	1909	12	201
681	1790	12	201
945	1335	12	201
1045	1561	12	201
415	1764	12	202
596	1762	12	202
839	1268	12	202
1128	1426	12	202
1283	1540	12	202
441	1764	12	203
624	1770	12	203
780	1243	12	203
961	1259	12	203
1242	1444	12	203
425	1764	12	204
610	1769	12	204
985	1314	12	204
497	981	12	205
678	1252	12	205
1118	1324	12	205
415	1764	12	206
552	1910	12	206
707	1083	12	206
947	1203	12	206
1282	1570	12	206
1618	1664	12	206
415	1764	12	208
548	1909	12	208
741	1091	12	208
1011	1424	12	208
1259	1514	12	208
