Outlets	Modes	Supercatchment	StreamID
302	1693	18	100
482	1812	18	100
609	2037	18	100
1222	2633	18	100
1522	2505	18	100
1804	2006	18	100
1936	2239	18	100
2244	2406	18	100
299	1692	18	101
510	1812	18	101
613	1726	18	101
960	1794	18	101
1153	1979	18	101
1298	1900	18	101
1907	2042	18	101
302	1693	18	102
482	1812	18	102
595	1726	18	102
960	1794	18	102
1174	1979	18	102
1298	1900	18	102
1763	2082	18	102
1935	2150	18	102
302	1693	18	103
609	2037	18	103
1184	1974	18	103
1834	2153	18	103
2171	2286	18	103
302	1693	18	104
630	2037	18	104
1167	1974	18	104
1980	2161	18	104
2138	2393	18	104
302	1693	18	105
609	2037	18	105
1216	2633	18	105
1806	2771	18	105
302	1693	18	106
482	1812	18	106
610	2037	18	106
1222	2633	18	106
1406	2529	18	106
1839	2601	18	106
2572	2764	18	106
302	1693	18	107
632	2037	18	107
1191	2632	18	107
1394	2529	18	107
1825	2410	18	107
2186	2536	18	107
302	1693	18	108
630	2037	18	108
1191	2632	18	108
1522	2505	18	108
302	1693	18	109
609	2037	18	109
1216	2633	18	109
1522	2505	18	109
499	964	18	10
1014	1197	18	10
302	1693	18	110
482	1812	18	110
595	1726	18	110
971	1805	18	110
1119	1974	18	110
1534	2011	18	110
2100	2513	18	110
302	1693	18	111
482	1812	18	111
610	2037	18	111
1200	2633	18	111
1869	2058	18	111
302	1693	18	112
482	1812	18	112
595	1726	18	112
939	1794	18	112
1119	1974	18	112
1525	2011	18	112
2042	2541	18	112
302	1693	18	116
630	2037	18	116
1191	2632	18	116
1931	2618	18	116
2124	2511	18	116
2292	2570	18	116
302	1693	18	117
595	1726	18	117
1139	1979	18	117
1421	2531	18	117
2568	2921	18	117
302	1693	18	118
482	1812	18	118
610	2037	18	118
1222	2633	18	118
2021	2187	18	118
2121	2329	18	118
2270	2620	18	118
302	1693	18	119
632	2037	18	119
1216	2633	18	119
1898	2975	18	119
2040	2653	18	119
2780	2970	18	119
499	964	18	11
716	972	18	11
823	1123	18	11
1113	1247	18	11
302	1693	18	120
482	1812	18	120
595	1726	18	120
939	1794	18	120
1119	1974	18	120
1427	2531	18	120
302	1693	18	121
595	1726	18	121
935	1794	18	121
1139	1979	18	121
1421	2531	18	121
2620	2856	18	121
302	1693	18	122
630	2037	18	122
1191	2632	18	122
2056	2505	18	122
2433	2800	18	122
2755	2975	18	122
302	1693	18	123
632	2037	18	123
1216	2633	18	123
2073	2490	18	123
2531	2681	18	123
2693	2839	18	123
302	1693	18	125
482	1812	18	125
610	2037	18	125
1200	2633	18	125
2720	2851	18	125
302	1693	18	126
632	2037	18	126
1191	2632	18	126
2233	2557	18	126
302	1693	18	127
630	2037	18	127
1187	2632	18	127
2624	2991	18	127
