Outlets	Modes	Supercatchment	StreamID
202	438	19	101
279	452	19	101
423	456	19	101
191	428	19	102
437	501	19	102
203	437	19	103
281	452	19	103
191	428	19	104
287	456	19	104
380	477	19	104
444	536	19	104
191	428	19	105
309	476	19	105
504	534	19	105
191	428	19	106
286	457	19	106
402	471	19	106
203	437	19	107
290	435	19	107
191	428	19	108
306	474	19	108
381	464	19	108
448	508	19	108
191	428	19	109
289	435	19	109
397	492	19	109
211	260	19	10
191	428	19	110
286	435	19	110
411	495	19	110
191	428	19	115
202	438	19	116
350	468	19	116
191	428	19	117
284	456	19	117
401	484	19	117
462	524	19	117
191	428	19	118
202	438	19	120
278	452	19	120
448	488	19	120
191	428	19	122
286	457	19	122
348	470	19	122
400	487	19	122
452	507	19	122
191	428	19	123
409	486	19	123
191	428	19	124
287	455	19	124
457	509	19	124
191	428	19	125
286	457	19	125
350	468	19	125
191	428	19	126
288	457	19	126
350	480	19	126
191	428	19	127
467	539	19	127
191	428	19	128
288	457	19	128
476	500	19	128
202	438	19	129
278	452	19	129
439	484	19	129
207	217	19	12
191	428	19	130
286	457	19	130
387	539	19	130
451	547	19	130
191	428	19	131
284	456	19	131
358	468	19	131
466	539	19	131
191	428	19	132
288	457	19	132
395	478	19	132
191	428	19	133
355	469	19	133
418	509	19	133
191	428	19	134
286	457	19	134
411	506	19	134
474	532	19	134
191	428	19	135
287	458	19	135
393	479	19	135
191	428	19	136
284	456	19	136
349	480	19	136
508	536	19	136
201	438	19	137
286	456	19	137
191	428	19	138
287	456	19	138
470	522	19	138
202	438	19	139
350	468	19	139
460	490	19	139
191	428	19	140
352	480	19	140
460	511	19	140
512	552	19	140
191	428	19	141
287	458	19	141
350	468	19	141
437	496	19	141
191	428	19	142
286	457	19	142
387	539	19	142
191	428	19	143
284	456	19	143
464	502	19	143
191	428	19	144
284	456	19	144
470	535	19	144
191	428	19	145
284	456	19	145
378	508	19	145
566	600	19	145
191	428	19	146
286	457	19	146
350	476	19	146
392	490	19	146
191	428	19	147
284	456	19	147
358	490	19	147
502	554	19	147
191	428	19	148
288	457	19	148
405	541	19	148
460	532	19	148
502	567	19	148
191	428	19	149
284	456	19	149
399	540	19	149
473	569	19	149
560	604	19	149
228	304	19	14
191	428	19	150
404	541	19	150
563	581	19	150
191	428	19	151
404	542	19	151
541	606	19	151
247	305	19	15
219	313	19	17
251	339	19	19
219	319	19	20
257	311	19	21
222	316	19	22
267	328	19	24
214	314	19	25
232	322	19	26
318	345	19	27
235	325	19	28
239	342	19	29
200	307	19	2
232	327	19	31
247	327	19	32
303	361	19	32
303	397	19	34
322	373	19	35
252	350	19	36
248	351	19	37
259	378	19	38
224	249	19	3
263	393	19	40
202	438	19	41
319	417	19	41
239	362	19	42
202	438	19	43
367	433	19	43
266	309	19	44
206	330	19	46
206	330	19	47
271	393	19	48
369	404	19	48
282	389	19	49
206	438	19	50
312	353	19	50
206	438	19	52
301	417	19	52
275	376	19	53
202	438	19	54
279	333	19	54
333	424	19	54
431	457	19	54
202	438	19	55
279	423	19	55
213	342	19	56
216	342	19	57
258	390	19	58
203	437	19	60
314	349	19	60
260	392	19	62
303	363	19	62
202	438	19	67
301	446	19	67
203	438	19	68
316	415	19	68
403	438	19	68
191	428	19	69
311	439	19	69
399	476	19	69
214	314	19	6
191	428	19	70
310	436	19	70
383	480	19	70
500	527	19	70
202	438	19	71
354	426	19	71
431	460	19	71
203	437	19	74
314	351	19	74
205	438	19	75
318	452	19	75
203	437	19	76
315	451	19	76
202	438	19	77
323	400	19	77
191	428	19	78
278	452	19	78
333	404	19	78
405	464	19	78
305	411	19	79
231	283	19	7
309	369	19	81
371	451	19	81
344	429	19	82
260	393	19	83
301	424	19	83
379	439	19	83
203	346	19	84
255	391	19	84
298	424	19	84
406	466	19	84
202	438	19	85
362	406	19	85
201	438	19	87
360	401	19	87
406	434	19	87
255	391	19	88
344	414	19	88
252	392	19	89
203	437	19	90
281	452	19	90
370	397	19	90
201	438	19	91
287	458	19	91
372	419	19	91
201	438	19	92
286	457	19	92
358	421	19	92
424	456	19	92
191	428	19	93
288	456	19	93
361	476	19	93
451	529	19	93
203	437	19	96
269	345	19	96
313	437	19	96
369	469	19	96
191	428	19	97
268	345	19	97
310	437	19	97
408	485	19	97
191	428	19	98
317	437	19	98
401	482	19	98
202	438	19	99
287	458	19	99
381	433	19	99
248	309	19	9
