Outlets	Modes	Supercatchment	StreamID
202	438	2	101
279	452	2	101
423	456	2	101
191	428	2	102
437	501	2	102
203	437	2	103
281	452	2	103
191	428	2	104
287	456	2	104
380	477	2	104
444	536	2	104
191	428	2	105
309	476	2	105
504	534	2	105
191	428	2	106
286	457	2	106
402	471	2	106
203	437	2	107
290	435	2	107
191	428	2	108
306	474	2	108
381	464	2	108
448	508	2	108
191	428	2	109
289	435	2	109
397	492	2	109
211	260	2	10
191	428	2	110
286	435	2	110
411	495	2	110
191	428	2	115
202	438	2	116
350	468	2	116
191	428	2	117
284	456	2	117
401	484	2	117
462	524	2	117
191	428	2	118
202	438	2	120
278	452	2	120
448	488	2	120
191	428	2	122
286	457	2	122
348	470	2	122
400	487	2	122
452	507	2	122
191	428	2	123
409	486	2	123
191	428	2	124
287	455	2	124
457	509	2	124
191	428	2	125
286	457	2	125
350	468	2	125
191	428	2	126
288	457	2	126
350	480	2	126
191	428	2	127
467	539	2	127
191	428	2	128
288	457	2	128
476	500	2	128
202	438	2	129
278	452	2	129
439	484	2	129
207	217	2	12
191	428	2	130
286	457	2	130
387	539	2	130
451	547	2	130
191	428	2	131
284	456	2	131
358	468	2	131
466	539	2	131
191	428	2	132
288	457	2	132
395	478	2	132
191	428	2	133
355	469	2	133
418	509	2	133
191	428	2	134
286	457	2	134
411	506	2	134
474	532	2	134
191	428	2	135
287	458	2	135
393	479	2	135
191	428	2	136
284	456	2	136
349	480	2	136
508	536	2	136
201	438	2	137
286	456	2	137
191	428	2	138
287	456	2	138
470	522	2	138
202	438	2	139
350	468	2	139
460	490	2	139
191	428	2	140
352	480	2	140
460	511	2	140
512	552	2	140
191	428	2	141
287	458	2	141
350	468	2	141
437	496	2	141
191	428	2	142
286	457	2	142
387	539	2	142
191	428	2	143
284	456	2	143
464	502	2	143
191	428	2	144
284	456	2	144
470	535	2	144
191	428	2	145
284	456	2	145
378	508	2	145
566	600	2	145
191	428	2	146
286	457	2	146
350	476	2	146
392	490	2	146
191	428	2	147
284	456	2	147
358	490	2	147
502	554	2	147
191	428	2	148
288	457	2	148
405	541	2	148
460	532	2	148
502	567	2	148
191	428	2	149
284	456	2	149
399	540	2	149
473	569	2	149
560	604	2	149
228	304	2	14
191	428	2	150
404	541	2	150
563	581	2	150
191	428	2	151
404	542	2	151
541	606	2	151
247	305	2	15
219	313	2	17
251	339	2	19
219	319	2	20
257	311	2	21
222	316	2	22
267	328	2	24
214	314	2	25
232	322	2	26
318	345	2	27
235	325	2	28
239	342	2	29
200	307	2	2
232	327	2	31
247	327	2	32
303	361	2	32
303	397	2	34
322	373	2	35
252	350	2	36
248	351	2	37
259	378	2	38
224	249	2	3
263	393	2	40
202	438	2	41
319	417	2	41
239	362	2	42
202	438	2	43
367	433	2	43
266	309	2	44
206	330	2	46
206	330	2	47
271	393	2	48
369	404	2	48
282	389	2	49
206	438	2	50
312	353	2	50
206	438	2	52
301	417	2	52
275	376	2	53
202	438	2	54
279	333	2	54
333	424	2	54
431	457	2	54
202	438	2	55
279	423	2	55
213	342	2	56
216	342	2	57
258	390	2	58
203	437	2	60
314	349	2	60
260	392	2	62
303	363	2	62
202	438	2	67
301	446	2	67
203	438	2	68
316	415	2	68
403	438	2	68
191	428	2	69
311	439	2	69
399	476	2	69
214	314	2	6
191	428	2	70
310	436	2	70
383	480	2	70
500	527	2	70
202	438	2	71
354	426	2	71
431	460	2	71
203	437	2	74
314	351	2	74
205	438	2	75
318	452	2	75
203	437	2	76
315	451	2	76
202	438	2	77
323	400	2	77
191	428	2	78
278	452	2	78
333	404	2	78
405	464	2	78
305	411	2	79
231	283	2	7
309	369	2	81
371	451	2	81
344	429	2	82
260	393	2	83
301	424	2	83
379	439	2	83
203	346	2	84
255	391	2	84
298	424	2	84
406	466	2	84
202	438	2	85
362	406	2	85
201	438	2	87
360	401	2	87
406	434	2	87
255	391	2	88
344	414	2	88
252	392	2	89
203	437	2	90
281	452	2	90
370	397	2	90
201	438	2	91
287	458	2	91
372	419	2	91
201	438	2	92
286	457	2	92
358	421	2	92
424	456	2	92
191	428	2	93
288	456	2	93
361	476	2	93
451	529	2	93
203	437	2	96
269	345	2	96
313	437	2	96
369	469	2	96
191	428	2	97
268	345	2	97
310	437	2	97
408	485	2	97
191	428	2	98
317	437	2	98
401	482	2	98
202	438	2	99
287	458	2	99
381	433	2	99
248	309	2	9
