Outlets	Modes	Supercatchment	StreamID
1038	2053	132	100
1174	2160	132	100
1374	2070	132	100
1524	2173	132	100
1049	2053	132	101
1153	2159	132	101
1384	2033	132	101
1879	2220	132	101
1148	1788	132	102
1561	2004	132	102
1718	2089	132	102
1820	2179	132	102
1148	1788	132	103
1486	2012	132	103
1669	2197	132	103
1972	2130	132	103
1055	2053	132	106
1158	2160	132	106
1393	2067	132	106
1601	2166	132	106
1755	2078	132	106
2086	2255	132	106
586	1128	132	107
713	1287	132	107
915	1787	132	107
1095	1861	132	107
1245	2135	132	107
2192	2593	132	107
481	2143	132	108
1638	2141	132	108
2086	2285	132	108
1055	2053	132	109
1155	2159	132	109
1622	2020	132	109
1963	2147	132	109
481	2143	132	110
1049	2053	132	110
1151	2159	132	110
1664	2332	132	110
481	2143	132	111
1642	1978	132	111
1775	2134	132	111
1900	2262	132	111
481	2143	132	112
1640	2482	132	112
1049	2053	132	113
1155	2159	132	113
1388	2123	132	113
2083	2268	132	113
481	2143	132	114
1038	2053	132	114
1167	2160	132	114
1371	2123	132	114
1692	2517	132	114
2206	2660	132	114
2371	2715	132	114
481	2143	132	115
1046	2053	132	115
1148	2159	132	115
1377	2067	132	115
1685	2440	132	115
2142	2547	132	115
481	2143	132	116
1046	2053	132	116
1148	2159	132	116
1704	2428	132	116
1049	2053	132	117
1155	2159	132	117
1722	2008	132	117
1953	2233	132	117
1049	2053	132	118
1153	2159	132	118
1384	2069	132	118
1646	2123	132	118
481	2143	132	119
1046	2053	132	119
1148	2159	132	119
1984	2478	132	119
481	2143	132	120
1508	2245	132	120
1667	2236	132	120
2078	2458	132	120
586	1128	132	121
713	1287	132	121
839	1415	132	121
1095	1651	132	121
1250	1896	132	121
1558	2176	132	121
1842	2395	132	121
1986	2534	132	121
2125	2643	132	121
2368	2587	132	121
586	1128	132	122
716	1287	132	122
844	1415	132	122
1073	1651	132	122
1232	1895	132	122
1515	2168	132	122
1878	2552	132	122
2079	2626	132	122
2204	2751	132	122
610	1144	132	123
713	1287	132	123
918	1787	132	123
1251	2135	132	123
1454	2174	132	123
2053	2243	132	123
481	2143	132	124
1586	2245	132	124
1815	2446	132	124
2225	2546	132	124
481	2143	132	125
1506	1973	132	125
1506	1973	132	126
1658	2075	132	126
481	2143	132	127
1046	2053	132	127
1148	2159	132	127
1377	2067	132	127
1735	2041	132	127
2019	2563	132	127
1038	2053	132	128
1167	2160	132	128
1398	2067	132	128
1653	2123	132	128
1857	2201	132	128
1986	2268	132	128
484	2143	132	129
1618	2159	132	129
1875	2206	132	129
481	2143	132	130
1819	2209	132	130
2085	2317	132	130
481	2143	132	131
1500	2271	132	131
1599	2333	132	131
2108	2567	132	131
2356	2701	132	131
481	2143	132	132
1046	2053	132	132
1148	2159	132	132
1890	2508	132	132
481	2143	132	133
586	1128	132	133
713	1287	132	133
918	1787	132	133
1098	1860	132	133
1251	2135	132	133
1868	2787	132	133
2899	2980	132	133
610	1144	132	134
713	1287	132	134
915	1787	132	134
1095	1861	132	134
1274	2135	132	134
2388	2536	132	134
484	2143	132	135
1694	2273	132	135
2133	2470	132	135
2280	2643	132	135
484	2143	132	136
1049	2053	132	136
1155	2159	132	136
1981	2243	132	136
2162	2385	132	136
481	2143	132	137
1667	2278	132	137
1926	2297	132	137
2097	2434	132	137
2417	2561	132	137
481	2143	132	138
1962	2373	132	138
481	2143	132	139
2006	2495	132	139
600	909	132	13
847	1051	132	13
481	2143	132	140
1503	2245	132	140
1686	2279	132	140
1913	2532	132	140
