Outlets	Modes	Supercatchment	StreamID
302	1225	19	100
480	1600	19	100
912	1690	19	100
1094	2040	19	100
1272	2424	19	100
1397	2488	19	100
1547	2700	19	100
1658	2510	19	100
2248	2636	19	100
302	1225	19	101
503	1633	19	101
1047	1846	19	101
1301	2005	19	101
1432	2331	19	101
1765	2375	19	101
2252	2454	19	101
302	1225	19	104
480	1633	19	104
1038	1846	19	104
1171	1937	19	104
1445	2331	19	104
1702	2562	19	104
1825	2335	19	104
1951	2605	19	104
2463	2922	19	104
302	1225	19	105
480	1600	19	105
912	1670	19	105
1085	2040	19	105
1237	2424	19	105
1390	2488	19	105
1646	2804	19	105
1855	2737	19	105
2589	2983	19	105
302	1225	19	106
480	1600	19	106
912	1670	19	106
1081	1981	19	106
1242	2424	19	106
1627	2804	19	106
1933	3045	19	106
2877	3196	19	106
302	1225	19	107
554	1292	19	107
713	1616	19	107
866	1681	19	107
1095	2069	19	107
2019	2341	19	107
302	1225	19	108
480	1633	19	108
1038	1846	19	108
1171	1937	19	108
1445	2331	19	108
1694	2562	19	108
1890	2970	19	108
302	1225	19	109
559	1292	19	109
713	1616	19	109
867	1681	19	109
1100	2069	19	109
1898	2329	19	109
302	1225	19	110
713	1616	19	110
864	1681	19	110
1095	2069	19	110
2015	2409	19	110
302	1225	19	111
480	1633	19	111
1044	1846	19	111
1426	2331	19	111
1710	2592	19	111
1987	2910	19	111
2330	3057	19	111
302	1225	19	112
480	1633	19	112
1038	1846	19	112
1475	2331	19	112
1702	2578	19	112
302	1225	19	113
480	1633	19	113
1044	1846	19	113
1426	2331	19	113
1710	2562	19	113
1980	2711	19	113
2377	2835	19	113
2515	3034	19	113
2855	3135	19	113
302	1225	19	114
480	1633	19	114
1038	1846	19	114
1156	1937	19	114
1440	2331	19	114
1694	2592	19	114
2052	2538	19	114
2306	2968	19	114
302	1225	19	115
480	1633	19	115
1038	1846	19	115
1475	2331	19	115
1702	2592	19	115
2060	2694	19	115
290	1225	19	11
407	1160	19	11
973	1253	19	11
1103	1352	19	11
471	863	19	12
715	1204	19	12
304	1225	19	13
501	852	19	13
702	1275	19	13
833	1366	19	13
1305	1428	19	13
297	518	19	14
441	738	19	14
688	837	19	14
939	1002	19	14
297	518	19	15
600	979	19	15
913	1095	19	15
1130	1226	19	15
368	835	19	16
507	1217	19	16
902	1847	19	16
1760	1993	19	16
560	778	19	19
687	831	19	19
806	872	19	19
276	1225	19	20
384	1161	19	20
384	1176	19	21
1186	1417	19	21
554	744	19	22
823	955	19	22
290	1225	19	25
559	905	19	25
746	1621	19	25
1405	1704	19	25
394	831	19	26
570	1051	19	26
813	1214	19	26
1060	1390	19	26
1268	1488	19	26
1405	1582	19	26
394	831	19	27
604	1425	19	27
1161	1566	19	27
1395	1625	19	27
587	1145	19	31
690	1075	19	31
890	1117	19	31
290	1225	19	32
645	1199	19	32
876	1248	19	32
302	1225	19	33
686	1246	19	33
823	1308	19	33
290	1225	19	34
564	1148	19	34
721	1343	19	34
958	1567	19	34
1436	1567	19	34
1573	1663	19	34
290	1225	19	35
548	1292	19	35
738	1055	19	35
974	1192	19	35
1198	1500	19	35
305	1214	19	39
578	1260	19	39
748	1204	19	39
995	1256	19	39
309	839	19	3
804	1005	19	3
905	1099	19	3
1041	1399	19	3
1303	1402	19	3
305	1214	19	42
674	1610	19	42
1029	1485	19	42
1233	1479	19	42
305	1214	19	43
895	1518	19	43
290	1225	19	44
566	1292	19	44
