Outlets	Modes	Supercatchment	StreamID
364	659	1	1001
509	1163	1	1001
547	1272	1	1001
661	859	1	1001
835	1117	1	1001
364	659	1	1003
509	1161	1	1003
641	681	1	1003
679	736	1	1003
727	825	1	1003
339	634	1	1004
434	836	1	1004
497	981	1	1004
656	884	1	1004
877	1087	1	1004
364	659	1	1006
529	688	1	1006
680	751	1	1006
749	898	1	1006
856	975	1	1006
339	634	1	1007
396	823	1	1007
614	996	1	1007
674	867	1	1007
734	995	1	1007
914	1152	1	1007
1019	1214	1	1007
1104	1260	1	1007
364	659	1	100
609	719	1	100
714	794	1	100
364	659	1	1010
578	696	1	1010
706	967	1	1010
953	1074	1	1010
364	659	1	1012
509	1161	1	1012
673	715	1	1012
364	659	1	1014
509	1161	1	1014
641	681	1	1014
716	818	1	1014
806	907	1	1014
857	961	1	1014
364	659	1	1015
668	958	1	1015
962	1062	1	1015
364	659	1	1016
657	898	1	1016
786	954	1	1016
364	659	1	1017
705	989	1	1017
1020	1093	1	1017
1065	1120	1	1017
364	659	1	1019
559	1291	1	1019
609	1049	1	1019
683	861	1	1019
735	982	1	1019
364	659	1	101
561	638	1	101
622	702	1	101
662	757	1	101
364	659	1	1020
637	669	1	1020
364	659	1	1024
593	717	1	1024
650	709	1	1024
724	853	1	1024
364	659	1	1026
645	740	1	1026
711	919	1	1026
364	659	1	1027
496	1163	1	1027
670	995	1	1027
893	1082	1	1027
1034	1301	1	1027
1118	1355	1	1027
1367	1469	1	1027
364	659	1	102
514	671	1	102
594	834	1	102
364	659	1	1030
672	794	1	1030
847	875	1	1030
364	659	1	1031
509	1163	1	1031
653	883	1	1031
364	659	1	1033
509	1161	1	1033
696	805	1	1033
781	885	1	1033
364	659	1	1034
748	928	1	1034
847	1019	1	1034
364	659	1	1035
509	1161	1	1035
577	653	1	1035
686	779	1	1035
730	825	1	1035
808	888	1	1035
364	659	1	1036
706	909	1	1036
364	659	1	1037
691	972	1	1037
364	659	1	1038
659	979	1	1038
997	1100	1	1038
515	580	1	103
589	625	1	103
349	618	1	1041
454	848	1	1041
621	1076	1	1041
668	979	1	1041
952	1089	1	1041
1009	1125	1	1041
364	659	1	1042
578	696	1	1042
739	834	1	1042
364	659	1	1043
671	832	1	1043
748	900	1	1043
792	1011	1	1043
364	659	1	1044
538	734	1	1044
601	916	1	1044
656	952	1	1044
720	1001	1	1044
915	1146	1	1044
364	659	1	1045
538	734	1	1045
612	916	1	1045
656	864	1	1045
827	1003	1	1045
364	653	1	1046
534	841	1	1046
788	905	1	1046
933	1074	1	1046
364	659	1	104
500	590	1	104
578	786	1	104
621	711	1	104
364	659	1	1051
509	1161	1	1051
669	735	1	1051
723	824	1	1051
760	793	1	1051
364	659	1	1052
509	1161	1	1052
700	854	1	1052
739	957	1	1052
364	659	1	1053
622	693	1	1053
715	813	1	1053
755	861	1	1053
799	929	1	1053
889	959	1	1053
364	659	1	1054
714	814	1	1054
824	863	1	1054
364	659	1	1055
747	860	1	1055
364	659	1	1056
641	705	1	1056
707	780	1	1056
364	659	1	1057
698	795	1	1057
753	847	1	1057
364	659	1	1058
653	944	1	1058
728	988	1	1058
796	1171	1	1058
918	1155	1	1058
364	659	1	1059
717	785	1	1059
803	834	1	1059
364	659	1	1060
578	696	1	1060
697	860	1	1060
900	1079	1	1060
992	1111	1	1060
364	659	1	1061
683	820	1	1061
814	1046	1	1061
957	1048	1	1061
1027	1114	1	1061
339	634	1	1062
603	1321	1	1062
695	783	1	1062
739	843	1	1062
364	659	1	1063
671	932	1	1063
967	1005	1	1063
364	659	1	1065
509	1163	1	1065
547	1272	1	1065
618	1468	1	1065
669	987	1	1065
949	1041	1	1065
364	659	1	1066
509	1161	1	1066
577	683	1	1066
625	848	1	1066
752	966	1	1066
339	634	1	1067
586	801	1	1067
730	894	1	1067
895	971	1	1067
364	659	1	1068
509	1163	1	1068
547	1272	1	1068
618	1468	1	1068
674	967	1	1068
823	1030	1	1068
364	659	1	1069
735	857	1	1069
797	955	1	1069
364	659	1	106
505	601	1	106
618	826	1	106
674	781	1	106
364	659	1	1071
542	667	1	1071
610	847	1	1071
339	634	1	1072
644	734	1	1072
787	883	1	1072
364	659	1	1074
700	897	1	1074
364	659	1	1075
702	822	1	1075
364	659	1	1076
509	1161	1	1076
663	879	1	1076
953	1104	1	1076
1146	1205	1	1076
364	659	1	1077
681	756	1	1077
723	810	1	1077
364	659	1	1081
734	909	1	1081
805	974	1	1081
882	1036	1	1081
364	659	1	1082
509	1161	1	1082
630	1027	1	1082
680	737	1	1082
730	907	1	1082
364	659	1	1083
509	1161	1	1083
709	899	1	1083
840	1077	1	1083
364	659	1	1086
662	845	1	1086
833	889	1	1086
880	954	1	1086
339	634	1	1087
586	801	1	1087
664	780	1	1087
741	947	1	1087
364	659	1	1088
659	885	1	1088
848	932	1	1088
941	997	1	1088
339	634	1	1089
686	1132	1	1089
505	572	1	108
553	605	1	108
339	634	1	1090
626	946	1	1090
892	1160	1	1090
1061	1214	1	1090
364	659	1	1092
632	719	1	1092
751	990	1	1092
364	659	1	1094
509	1161	1	1094
724	1003	1	1094
364	659	1	1097
661	805	1	1097
841	943	1	1097
905	980	1	1097
364	659	1	1098
509	1161	1	1098
577	683	1	1098
625	848	1	1098
776	885	1	1098
892	967	1	1098
364	659	1	1101
661	758	1	1101
725	853	1	1101
771	924	1	1101
339	634	1	1105
642	963	1	1105
681	811	1	1105
721	880	1	1105
339	634	1	1106
654	740	1	1106
746	884	1	1106
364	659	1	1107
509	1161	1	1107
655	1043	1	1107
1108	1145	1	1107
364	659	1	1109
509	1161	1	1109
688	881	1	1109
826	903	1	1109
364	659	1	1110
509	1161	1	1110
666	988	1	1110
850	1060	1	1110
364	659	1	1112
509	1161	1	1112
679	808	1	1112
826	910	1	1112
364	659	1	1113
509	1161	1	1113
680	851	1	1113
791	994	1	1113
364	659	1	1114
509	1163	1	1114
547	1272	1	1114
599	1242	1	1114
689	838	1	1114
784	1099	1	1114
1093	1144	1	1114
339	634	1	1118
588	1046	1	1118
652	832	1	1118
791	932	1	1118
364	659	1	1119
624	774	1	1119
682	799	1	1119
778	909	1	1119
364	659	1	111
505	725	1	111
581	887	1	111
684	916	1	111
831	940	1	111
364	659	1	1120
501	1050	1	1120
681	937	1	1120
883	1028	1	1120
364	659	1	1123
509	1161	1	1123
687	917	1	1123
800	1007	1	1123
949	1139	1	1123
364	659	1	1124
679	824	1	1124
798	997	1	1124
992	1102	1	1124
364	659	1	112
540	690	1	112
604	800	1	112
695	833	1	112
817	871	1	112
364	659	1	1130
509	1161	1	1130
607	1001	1	1130
680	923	1	1130
777	1039	1	1130
1062	1162	1	1130
364	659	1	1131
553	791	1	1131
784	953	1	1131
364	659	1	1132
681	905	1	1132
811	949	1	1132
398	799	1	1133
472	864	1	1133
580	875	1	1133
678	851	1	1133
773	899	1	1133
364	659	1	1134
646	836	1	1134
878	919	1	1134
364	659	1	1136
681	834	1	1136
774	933	1	1136
847	999	1	1136
1015	1068	1	1136
364	655	1	1137
711	814	1	1137
829	941	1	1137
364	659	1	1139
657	952	1	1139
956	1147	1	1139
1049	1167	1	1139
364	659	1	1140
509	1161	1	1140
693	952	1	1140
925	1093	1	1140
1058	1157	1	1140
364	659	1	1141
509	1161	1	1141
713	862	1	1141
807	1036	1	1141
364	655	1	1142
750	958	1	1142
811	962	1	1142
929	987	1	1142
343	639	1	1144
430	800	1	1144
646	913	1	1144
364	659	1	1145
509	1163	1	1145
547	1272	1	1145
606	763	1	1145
684	1028	1	1145
857	1102	1	1145
1001	1173	1	1145
364	659	1	1149
567	1291	1	1149
693	951	1	1149
797	1059	1	1149
849	1098	1	1149
962	1154	1	1149
1017	1234	1	1149
364	659	1	1150
509	1161	1	1150
626	720	1	1150
741	835	1	1150
364	659	1	1152
637	669	1	1152
783	869	1	1152
885	975	1	1152
364	659	1	1153
683	870	1	1153
766	1102	1	1153
831	1142	1	1153
364	659	1	1154
538	734	1	1154
697	862	1	1154
753	900	1	1154
825	1050	1	1154
910	1091	1	1154
1102	1198	1	1154
364	659	1	1155
509	1163	1	1155
547	1272	1	1155
606	763	1	1155
790	988	1	1155
364	659	1	1156
593	717	1	1156
721	971	1	1156
904	1261	1	1156
339	634	1	1157
586	801	1	1157
725	1061	1	1157
1082	1192	1	1157
486	599	1	115
609	642	1	115
364	659	1	1160
627	997	1	1160
692	789	1	1160
761	908	1	1160
840	954	1	1160
364	659	1	1161
553	791	1	1161
678	834	1	1161
807	975	1	1161
343	639	1	1162
430	800	1	1162
636	913	1	1162
681	1073	1	1162
1007	1268	1	1162
1291	1345	1	1162
364	659	1	1163
509	1161	1	1163
673	757	1	1163
714	863	1	1163
839	1054	1	1163
1052	1092	1	1163
364	659	1	1164
509	1161	1	1164
687	889	1	1164
845	1073	1	1164
364	655	1	1165
602	773	1	1165
674	874	1	1165
775	943	1	1165
962	1069	1	1165
364	659	1	1166
670	910	1	1166
364	659	1	1167
694	1027	1	1167
1064	1134	1	1167
364	659	1	1168
635	812	1	1168
732	998	1	1168
796	1115	1	1168
364	659	1	1169
674	800	1	1169
749	950	1	1169
