Outlets	Modes	Supercatchment	StreamID
340	1825	7	100
971	1882	7	100
1324	1962	7	100
1848	2353	7	100
2138	2301	7	100
340	1825	7	101
1707	2075	7	101
425	2032	7	102
1453	2195	7	102
1557	2647	7	102
1700	2082	7	102
1866	2158	7	102
2232	2587	7	102
2562	2676	7	102
340	1825	7	103
844	2273	7	103
1450	2295	7	103
1760	2621	7	103
350	2292	7	104
447	2733	7	104
1857	2666	7	104
425	2032	7	105
1453	2195	7	105
1599	2647	7	105
1900	2403	7	105
2230	2617	7	105
340	1825	7	108
844	2273	7	108
1448	2404	7	108
1812	2255	7	108
2280	2454	7	108
451	2032	7	109
1275	2050	7	109
1575	1999	7	109
1725	2157	7	109
2101	2304	7	109
350	2292	7	10
566	841	7	10
751	1127	7	10
451	2032	7	110
1275	2050	7	110
1575	1999	7	110
1725	2169	7	110
340	1825	7	115
862	2622	7	115
1660	2549	7	115
1834	2247	7	115
340	1825	7	116
844	2277	7	116
941	2597	7	116
1581	3020	7	116
1837	2562	7	116
2184	2792	7	116
2401	2988	7	116
2581	3117	7	116
340	1825	7	117
862	2622	7	117
1267	2636	7	117
1828	2816	7	117
2683	2956	7	117
451	2033	7	119
1842	2108	7	119
2027	2225	7	119
519	1257	7	11
869	1342	7	11
1370	1493	7	11
425	2032	7	120
1453	2195	7	120
1673	2168	7	120
1907	2365	7	120
2146	2548	7	120
475	2734	7	121
879	1377	7	121
1880	2137	7	121
2025	2387	7	121
2157	2374	7	121
475	2733	7	122
1471	2451	7	122
2418	2563	7	122
2523	2779	7	122
425	2032	7	123
1351	2309	7	123
1626	2384	7	123
2437	2662	7	123
340	1825	7	124
889	2624	7	124
1927	2375	7	124
2289	2524	7	124
2462	2620	7	124
340	1825	7	125
889	2624	7	125
1285	2651	7	125
1900	2502	7	125
2374	2807	7	125
340	1825	7	126
862	2622	7	126
1267	2636	7	126
1909	2864	7	126
350	2292	7	127
447	2719	7	127
1936	2382	7	127
2075	2454	7	127
2235	2711	7	127
2714	2815	7	127
350	2292	7	128
447	2719	7	128
2051	2601	7	128
447	2733	7	129
1838	3024	7	129
2038	2367	7	129
350	2292	7	130
447	2719	7	130
350	2292	7	131
447	2692	7	131
2113	2795	7	131
2248	2997	7	131
425	2032	7	132
1453	2195	7	132
1599	2647	7	132
1809	2816	7	132
425	2032	7	133
1453	2195	7	133
1599	2647	7	133
2044	2383	7	133
2356	2799	7	133
2687	2911	7	133
425	2032	7	134
1453	2195	7	134
1599	2647	7	134
1809	2816	7	134
2163	2663	7	134
2554	2837	7	134
340	1825	7	135
889	2624	7	135
1285	2641	7	135
340	1825	7	136
889	2624	7	136
1285	2651	7	136
2715	2922	7	136
425	2032	7	137
1453	2195	7	137
1599	2647	7	137
2022	2813	7	137
350	2292	7	138
447	2733	7	138
1838	3023	7	138
2120	2359	7	138
2334	2619	7	138
340	1825	7	139
889	2624	7	139
1660	2549	7	139
1827	2644	7	139
2104	2490	7	139
2557	2693	7	139
425	2032	7	140
1453	2195	7	140
1599	2647	7	140
2110	2731	7	140
2646	2851	7	140
350	2292	7	141
447	2719	7	141
2111	2660	7	141
2289	2752	7	141
2485	2999	7	141
340	1825	7	142
844	2273	7	142
2349	2851	7	142
2496	2844	7	142
2705	2964	7	142
3156	3304	7	142
340	1825	7	143
889	2624	7	143
1660	2549	7	143
1827	2644	7	143
2077	2282	7	143
2328	2646	7	143
350	2292	7	144
447	2733	7	144
1838	3022	7	144
2124	2718	7	144
350	2292	7	145
447	2719	7	145
2143	2450	7	145
2336	2683	7	145
350	2292	7	14
447	2736	7	14
656	1264	7	14
952	1424	7	14
340	1825	7	150
862	2549	7	150
2446	2902	7	150
2815	3017	7	150
425	2032	7	152
1351	2309	7	152
2068	2968	7	152
2245	2521	7	152
2518	2703	7	152
350	2292	7	153
447	2677	7	153
2253	2686	7	153
2528	2991	7	153
2961	3147	7	153
350	2292	7	154
447	2719	7	154
2194	2897	7	154
425	2032	7	155
1453	2195	7	155
1599	2647	7	155
2273	2816	7	155
350	2292	7	156
447	2719	7	156
340	1825	7	157
844	2273	7	157
2020	2692	7	157
2218	2625	7	157
2541	3040	7	157
2726	3134	7	157
340	1825	7	158
844	2273	7	158
1989	2692	7	158
2223	3300	7	158
425	2032	7	159
1453	2195	7	159
1599	2647	7	159
2162	2734	7	159
340	1825	7	160
862	2622	7	160
2328	2834	7	160
2460	3130	7	160
340	1825	7	161
862	2549	7	161
2157	2847	7	161
340	1825	7	162
862	2622	7	162
1660	2549	7	162
1827	2644	7	162
2157	2847	7	162
2562	3073	7	162
2730	3110	7	162
340	1825	7	163
844	2273	7	163
2089	2576	7	163
2273	2743	7	163
2344	3117	7	163
340	1825	7	164
844	2273	7	164
2089	2576	7	164
2273	2743	7	164
2530	3197	7	164
425	2032	7	165
1453	2195	7	165
1599	2647	7	165
2437	2573	7	165
425	2032	7	166
1453	2195	7	166
1599	2647	7	166
2479	2800	7	166
350	2292	7	167
447	2733	7	167
1857	3021	7	167
2392	2657	7	167
2542	2836	7	167
340	1825	7	168
862	2604	7	168
2524	2898	7	168
340	1825	7	169
889	2604	7	169
2543	2772	7	169
2726	2937	7	169
425	2032	7	170
1351	2309	7	170
1626	2408	7	170
1860	2343	7	170
2068	2968	7	170
2908	3069	7	170
3014	3167	7	170
425	2032	7	171
1351	2309	7	171
1626	2408	7	171
1860	2343	7	171
2068	2968	7	171
2408	2707	7	171
2607	2890	7	171
2869	2974	7	171
350	2292	7	172
447	2733	7	172
1857	3021	7	172
2389	2798	7	172
2500	3014	7	172
2818	3156	7	172
340	1825	7	174
862	2622	7	174
2652	2974	7	174
340	1825	7	175
862	2622	7	175
2582	2880	7	175
350	2292	7	176
447	2719	7	176
2258	2975	7	176
2592	3022	7	176
350	2292	7	177
447	2719	7	177
2258	2975	7	177
3021	3095	7	177
340	1825	7	178
